,Customer Name,Ratio Match,Ratio Score,Partial Ratio Match,Partial Score,Token Sort Match,Token Sort Score,Token Set Match,Token Set Score
2457,GIOVANNI BROWN,,,,,,,,
2458,SHARRON SMITH,,,,,,,,
2459,AZRAA AFZAL,,,,,,,,
2460,HAREEM MADY,,,,,,,,
2461,GOHAR LATIF,,,,,,,,
2462,NATIONAL TEACHERS ASSOC LIFE,,,,,,,,
2463,ABDUL WAJID RAD,,,"LOAN, WASEEM RAUF; LOUN, WASEEM ROUF; LOUN, WASEEM RAOUF; RASHID, ABDUL MAJID; RASHI, ABDUL MAJID; BUTT, ABDUL MAJID; LOAN, WASEEM RAOUF; LOUN, WASEEM RAUF; LON RAOUF, WASIM RAOUF; ",87,,,,
2464,TIMMIE BUTLER,,,,,,,,
2465,RODGER JOHNSON,,,,,,,,
2466,HANEEF IRANI,,,,,,,,
2467,CODIE WILLIAMS,,,,,,,,
2468,GHAZAL SARWAR,,,,,,,,
2469,GIACOPO ROBERTS,,,,,,,,
2470,ILHAM ULLAH,,,,,,,,
2471,WASILAH HABIBI,,,,,,,,
2472,SA'OOD ABDALLA,,,,,,,,
2473,WAHAB HAQUE,,,,,,,,
2474,KERWINN ROBINSON,,,,,,,,
2475,LESLIE MORGAN,,,GANJ ,86,,,,
2476,UNIVERSAL TERRAFORMING ,,,,,,,,
2477,CONNY THOMAS,,,,,,,,
2478,JABALAH JALALI,,,,,,,,
2479,GHALIYAH RAMIN,,,,,,,,
2480,ASHLEY WILSON,,,,,,,,
2481,WIAM ABDI,,,,,,,,
2482,FADEELAH AYDIN,,,,,,,,
2483,MOEMEN SALIH,,,,,,,,
2484,IRIZL MULTIMODAL TRANSPORT CO.,IRISL MULTIMODAL TRANSPORT CO. ,97,IRISL MULTIMODAL TRANSPORT CO. ,97,IRISL MULTIMODAL TRANSPORT CO. ,97,IRISL MULTIMODAL TRANSPORT CO. ,97
2485,NEALE SMITH,,,,,,,,
2486,MAYSARAH HAMDAN,,,HAMD ,100,,,,
2487,HUDUN TAHIR,,,,,,,,
2488,HIBBAAN KARIMI,,,,,,,,
2489,MAHER ASAD,,,,,,,"AL-ASSAD, MAHER; ASSAD, MAHER; ASSAD, MAHAR; AL-ASAD, MAHIR; ",100
2490,SHABAB AZIZI,,,,,,,,
2491,MYCAH SMITH,,,,,,,,
2492,AZHAR FARRA,,,,,,,,
2493,STRICKLAND PROPANE,,,,,,,,
2494,NUHAID DIN,,,,,,,,
2495,SA'OOD TAHERI,,,,,,,,
2496,QANIT HABEEB,,,,,,,,
2497,ALMAN SOLIMAN,,,"SALMAN, SALMAN RAOUF; AL-REDA, SALMAN; EL-REDA, SAMUEL SALMAN; AL-RIDA, SAMWIL SALMAN; SALMAN, SALMAN RAOF; SALMAN, SALMAN RAUF; REMAL, SALMAN;  MARQUEZ, ANDREE",85,,,,
2498,ABDUL-KHALIQ SALAMA,,,,,,,,
2499,HIBBAAN BAGHERI,,,,,,,,
2500,AFTAB ALLY,,,,,,,,
2501,CALEB WILSON,,,,,,,,
2502,MUHARREM OMER,,,,,,,,
2503,ANAS HOSSEINI,,,YASA PART; ARFA PAINT COMPANY; ARFEH COMPANY; FARASEPEHR ENGINEERING COMPANY; HOSSEINI NEJAD TRADING CO.; IRAN SAFFRON COMPANY; IRANSAFFRON CO; SHETAB G; SHETAB GAMAN; SHETAB TRADING; Y.A.S. CO LTD.; ,85,,,,
2504,FLORI SMITH,,,,,,,,
2505,AIN ALSABA BAGHERI,,,,,,,,
2506,RIM BAGHERI,,,"KAZEMABAD, MAHMUD BAGHERI; BAGHERI-KAZEMABAD, MAHMUD; BAGHERI, MAHMUD KAZEMABAD; KAZEMABAD, MAHMOUD BAGHERI; KZEMABAD, MAHMOUD BAGHERI;  BAGHERI, MAHMUD; BAGHERI, MAHMOUD",91,,,,
2507,JABALAH SAAH,,,,,,,,
2508,AVERELL ROBERTS,,,,,,,,
2509,RODOLPH THOMPSON,,,,,,,,
2510,WARE JONES,,,,,,,,
2511,SHELBY TAYLOR,,,,,,,,
2512,SHURAYM SADIQ,,,,,,,,
2513,MARIANNA THOMPSON,,,MARIVAN ,86,,,,
2514,DARIN ROBINSON,,,,,,,,
2515,SIRJANCO TRADING L.L.C.,SIRJANCO TRADING L.L.C. ,100,SIRJANCO TRADING L.L.C. ,100,SIRJANCO TRADING L.L.C. ,100,SIRJANCO TRADING L.L.C. ,100
2516,SHIBLI RAMIN,,,AMINA ,89,,,,
2517,ENDURANCE REINS CORP OF AMER,,,,,,,,
2518,BATHOLOMEW SMITH,,,,,,,,
2519,ADL RAMIN,,,AMINA ,89,,,,
2520,JAYMIE JONES,,,,,,,,
2521,ISAAC MARTINEZ,,,ARTIN ,100,,,,
2522,MUTAWASSIT MATIN,,,,,,,,
2523,NUMAIR NEMAN,,,,,,,,
2524,SAEED UDDIN,,,,,,,,
2525,KRISTOFORO YOUNG,,,,,,,,
2526,IMRAN SAYED,,,,,,,,
2527,BOB WOOD,,,,,,,,
2528,AVIVA LIFE AND ANNUITY CO OF NY,,,,,,,,
2529,DESI WILLIAMS,,,,,,,,
2530,ABDUL MUHYI FAYAD,,,,,,,,
2531,ROSHAN WAKIM,,,,,,,,
2532,MARY SMITH,,,,,,,,
2533,RENAULT DAVIES,,,,,,,,
2534,SHAMSHEER MATTAR,,,,,,,,
2535,MAZIN HODA,,,,,,,,
2536,AMERICAN GENERAL LIFE INS CO,,,,,,,,
2537,SHAMAL CHAHINE,,,,,,,,
2538,CHRISTIE YOUNG,,,,,,,,
2539,SAIB SHARIF,,,,,,,,
2540,RUKSHA NOOR,,,,,,,,
2541,KAFEEL KARIM,,,,,,,,
2542,KALTHAM YOUNES,,,YOUNES ,100,,,YOUNES ,100
2543,TALIB SADEK,,,,,,,,
2544,EMPLOYERS MUTUAL CAS CO,,,,,,,,
2545,ABRAHAN SMITH,,,,,,,,
2546,KANDACE TAYLOR,,,,,,,,
2547,MUFFIN GONZALEZ,,,,,,,,
2548,SAHAR AMMAR,,,,,,,,
2549,INGELBERT SMITH,,,,,,,,
2550,MINHAJ BEY,,,,,,,,
2551,SUNSHINE DESSERTS ,,,,,,,,
2552,HASHIR HAMAD,,,,,,,,
2553,INGLIS ELLIOTT,,,,,,,,
2554,NAZIH MATIN,,,,,,,,
2555,TAMANNA KHALILI,,,,,,,,
2556,BREW SMITH,,,,,,,,
2557,THACHER WILLIAMS,,,,,,,,
2558,NUSAYB POPAL,,,,,,,,
2559,GOLDINA SMITH,,,,,,,,
2560,WILMER CLARKE,,,,,,,,
2561,SARWARI EBRAHIMI,,,,,,,,
2562,RA'ID YACOUB,,,,,,,,
2563,ANGELICO TAYLOR,,,,,,,,
2564,ABDUR-RAZZAQ MIAH,,,,,,,,
2565,CASA GRAJALES S.A.,CASA GRAJALES S.A. ,100,CASA GRAJALES S.A. ,100,CASA GRAJALES S.A. ,100,CASA GRAJALES S.A. ,100
2566,EDSEL SMITH,,,,,,,,
2567,GALEN ELLIS,,,,,,,,
2568,ANIYA ZAKI,,,,,,,,
2569,JON THOMPSON,,,,,,,,
2570,ABDUL HAQ YOUSSEF,,,,,,,"ABDAOUI, YOUSSEF; ABDAOUI, YOUSSEF BEN ABDUL BAKI BEN YOUCEF;  ABU ABDULLAH; ABDELLAH; ABDULLAH.",87
2571,MUAZZAZ BALUCH,,,,,,,,
2572,AZAB ASMAR,,,,,,,,
2573,DRUCY BROWN,,,,,,,,
2574,KALIQ SHEHADEH,,,"SHIHADAH, RAFIQ; SHIHADAH, WAFIQ; SHIHADA, RAFIQ; SHAHADAH, RAFIQ; SHEHADEH, RAFIK; ",86,,,,
2575,SHU'AA TABET,,,,,,,,
2576,SAYERS JAMES,,,,,,,,
2577,AHWAS EMAMI,,,,,,,,
2578,MALMAL NASR,,,,,,,,
2579,FAJARUDDIN DEMIAN,,,,,,,,
2580,HELEN SMITH,,,,,,,,
2581,RAIF KAMAL,,,,,,,,
2582,MAKKI SIDDIQUI,,,,,,,,
2583,SUHAIM ASHRAF,,,,,,,,
2584,CMG MORTGAGE ASSURANCE CO,,,,,,,,
2585,MUTA HAKEEM,,,,,,,,
2586,HAROUN SMITH,,,,,,,,
2587,SAWWAF ALLEE,,,,,,,,
2588,IKEY JONES,,,,,,,,
2589,ABRAD AKBARI,,,,,,,,
2590,FAIRFAX RODRIGUEZ,,,,,,,,
2591,MASHAL KAMAL,,,,,,,,
2592,SHAYBAH SHAHEEN,,,,,,,,
2593,FATEENAH FARID,,,,,,,,
2594,MUFLIH GHAFFARI,,,,,,,,
2595,ORLANDO ALLEN,,,,,,,,
2596,NASEEKA KHALILI,,,,,,,,
2597,TORRIN HALL,,,,,,,,
2598,SHAREEK OMER,,,,,,,,
2599,USAMAH NAZIR,,,,,,,,
2600,MANZOOR ASLAM,,,,,,,,
2601,CONSTANTINA WILLIAMS,,,,,,,,
2602,HUMAM BAHRI,,,,,,,,
2603,HUMAYL GREISS,,,,,,,,
2604,NASHMIA MAHDAVI,,,,,,,,
2605,BALIGH GHANI,,,,,,,,
2606,CONSECO HEALTH INS CO,,,,,,,,
2607,SENECA SPECIALTY INSURANCE CO,,,,,,,,
2608,FOUAD KASSEM,,,,,,,,
2609,AMERICAN SPECIAL RISK INS CO,,,,,,,,
2610,WIDAD RAHAMAN,,,,,,,,
2611,SUWAYDAH SABET,,,,,,,,
2612,WAYLEN JACKSON,,,,,,,,
2613,ISLAM RIZK,,,,,,,,
2614,YAR KHATIB,,,,,,,,
2615,RASHAD DEMIAN,,,,,,,,
2616,HUTHAYFA AMBER,,,,,,,,
2617,SAHIL HAMDAN,,,HAMD ,100,,,,
2618,FAHYIM AMIRI,,,,,,,,
2619,HAAZIQ NASSER,,,,,,,,
2620,ARVIN GREEN,,,ARVIN ,100,,,ARVIN ,100
2621,MALIH HAIDAR,,,,,,,"HAIDAR, ALI ",91
2622,HASLETT JONES,,,,,,,,
2623,EMMOTT DAWSON,,,,,,,,
2624,FERRAN AZZAM,,,,,,,,
2625,DILDAR PASHA,,,,,,,,
2626,RUHINA NOORANI,,,,,,,,
2627,LUJAINA FADEL,,,,,,,,
2628,ARSHAQ ANWAR,,,,,,,,
2629,ALBIE WILLIAMS,,,,,,,,
2630,JAHIDA CHAHINE,,,,,,,,
2631,NAJI KHAWAJA,,,,,,,,
2632,LYLE SMITH,,,,,,,,
2633,CAPITOL SPECIALTY INSURANCE CORP,,,,,,,,
2634,ABDUL AHAD TAHERI,,,,,,,,
2635,ISSAR FAHMY,,,,,,,,
2636,FARIDA KALIL,,,,,,,,
2637,FARAZA RAMIN,,,AMINA ,89,,,,
2638,AUGUSTA JAMES,,,,,,,,
2639,ISAR MAHDAVI,,,,,,,,
2640,COLAS GARCIA,,,,,,,,
2641,"PEARL INSURANCE GROUP, LLC",,,,,,,,
2642,KIEL TAYLOR,,,,,,,,
2643,HUMAIRAH ABDELRAHMAN,,,,,,,,
2644,DIYA YOUSSEF,,,,,,,,
2645,RAMPART INSURANCE CO,,,,,,,,
2646,KILEY GREEN,,,,,,,,
2647,ALAN THOMAS,,,,,,,,
2648,SHARAHEEL BARAKAT,,,,,,,,
2649,RABBANI POPAL,,,ABBA ,100,,,,
2650,MU'AWWIZ DAOUD,,,,,,,,
2651,UMARAH JAFFER,,,MARA ,100,,,,
2652,FELIKS WILLIAMS,,,,,,,,
2653,TAHSIN AZIZI,,,,,,,,
2654,VERNE SCOTT,,,,,,,,
2655,MAJDI ARIF,,,,,,,,
2656,DIZHWAR DAJANI,,,,,,,,
2657,AMANDY WILLIAMS,,,,,,,,
2658,RASHEED HUDA,,,,,,,,
2659,FAKHR GALLA,,,,,,,,
2660,TIMOTHY JONES,,,,,,,,
2661,WISAM SEMAAN,,,,,,,,
2662,HASHIR RASHID,,,"NI'MA, RASHID RASHID ",85,,,,
2663,NASIF SEMAAN,,,,,,,,
2664,ABID NADERI,,,,,,,,
2665,"STATE NATIONAL INS CO, INC.",,,,,,,,
2666,A'ISHAH SAMI,,,,,,,,
2667,DAWLAT KHATOON JALIL,,,,,,,,
2668,DIRAR BACCHUS,,,,,,,,
2669,BANAFSHA KHAWAJA,,,,,,,,
2670,FASEEHAH ISMAEL,,,,,,,"ISMAEL, ISMAEL ",100
2671,ABDUL JALEEL LATIF,,,,,,,,
2672,VIRGE WOOD,,,,,,,,
2673,EUGENIO SMITH,,,,,,,,
2674,NASEER FAHS,,,,,,,,
2675,KHAIRI SHAHID,,,,,,,,
2676,ABDUL RABB MANSUR,,,,,,,,
2677,BURAYD MAHDI,,,,,,,,
2678,FARHANA MOHAMED,,,,,,,,
2679,ARSH MAHMUD,,,,,,,,
2680,GHAYOOR FIRMAN,,,,,,,,
2681,JOSE VICENTE CASTANO GIL,,,,,"CASTANO GIL, JOSE VICENTE ",100,"CASTANO GIL, JOSE VICENTE ",100
2682,ABDUL SAMAD RASHEED,,,,,,,,
2683,JONATHAN THOMPSON,,,,,,,,
2684,AMERICAN FIRE & CASUALTY CO,,,,,,,,
2685,MINER WALKER,,,,,,,,
2686,HUMZA MASRI,,,,,,,,
2687,GASPARD PATEL,,,,,,,,
2688,BARTEL TAYLOR,,,,,,,,
2689,JAYE PETERSON,,,,,,,,
2690,FADL ALLAH FARES,,,,,,,,
2691,DALSTON JONES,,,,,,,,
2692,LANDMARK AMERICAN INSURANCE CO,,,,,,,,
2693,IHTIRAM SHABAN,,,,,,,,
2694,TRAVELERS COMMERICIAL CAS CO,,,,,,,,
2695,RAITAH BAKSH,,,,,,,,
2696,KHAFID JAMAL,,,,,,,,
2697,AARIZ IRANI,,,,,,,,
2698,MUHDEE GHATTAS,,,,,,,,
2699,MORNA TAYLOR,,,,,,,,
2700,JIHAD SALAHUDDIN,,,,,,,,
2701,BAHIJ ABDO,,,,,,,,
2702,CAMMIE WILSON,,,,,,,,
2703,ABDUL-MUJEEB ISLAM,,,,,,,,
2704,CHELSEA HILL,,,,,,,,
2705,QUINLAN JONES,,,,,,,,
2706,MUZAFFAR AZIZ,,,,,,,,
2707,WALIF TOURE,,,,,,,,
2708,JERROME COLLINS,,,,,,,,
2709,CLETIS SMITH,,,,,,,,
2710,MARCELO HILL,,,,,,,,
2711,DAVEN JOHNSON,,,,,,,,
2712,RABEEA RAAD,,,,,,,,
2713,GIACOMO TURNER,,,,,,,,
2714,AUBERON WOOD,,,,,,,,
2715,NUAYM ASLAM,,,,,,,,
2716,SAHIB MAJID,,,,,,,,
2717,THAXTER MURPHY,,,,,,,,
2718,SANFORD WILLIAMS,,,,,,,,
2719,ABDUL MUQTADIR YOUNIS,,,,,,,,
2720,CENTURY REINSURANCE CO,,,,,,,,
2721,ARTY ROBERTS,,,,,,,,
2722,ZAEEM MAJEED,,,,,,,,
2723,HAYWOOD TAYLOR,,,,,,,,
2724,HAMIM BANGURA,,,,,,,,
2725,MURAD MIAN,,,,,,,,
2726,SHAZEB SHARIFF,,,,,,,,
2727,MAJID NASR,,,,,,,,
2728,CLAY GREEN,,,,,,,,
2729,BARTHOLOMEO SMITH,,,,,,,,
2730,STEVE SMITH,,,,,,,,
2731,SHU'AA SAMARA,,,MARA ,100,,,,
2732,SAIF AL DIN FARHA,,,,,,,,
2733,DENNY JONES,,,,,,,,
2734,AZRAQ SHAFI,,,,,,,,
2735,SOHAIL TARIQ,,,,,,,,
2736,ENSTEIN INDUSTRIAL BIONICS ,,,INDUSTRIAL BANK ,87,,,,
2737,ABAN SHAIKH,,,,,,,,
2738,JUNAID DALLAL,,,,,,,,
2739,SHERAZ MAHDAVI,,,,,,,,
2740,NAJM AL DIN VAZIRI,,,,,,,,
2741,NABEEL NASR,,,,,,,,
2742,SANDOR SMITH,,,,,,,,
2743,YOKO WILLIAMS,,,,,,,,
2744,KHAYRIYYAH MOHAMED,,,,,,,,
2745,ABU BAKR AYOUB,,,,,,,,
2746,NIGAR MANNAN,,,,,,,,
2747,SIERRA HEALTH & LIFE INS CO,,,,,,,,
2748,DONICA ROBINSON,,,,,,,,
2749,UMAIR EMAMI,,,,,,,,
2750,SAIB HOSEIN,,,,,,,,
2751,TAMAM AMIN,,,,,,,,
2752,EASTERN LIFE AND HEALTH INS CO,,,,,,,,
2753,KUWAYSAH GHAFFARI,,,,,,,,
2754,WAHID DAWOOD,,,,,,,,
2755,JUN SINAI,,,,,,,,
2756,SEABOARD SURETY COMPANY,,,,,,,,
2757,NIBRAS FARID,,,,,,,,
2758,FATIK JAMAL,,,,,,,,
2759,JOAQUIN GUZMAN LOESA,,,,,,,"GUZMAN LOERA, JOAQUIN; AREGON, MAX; GUZMAN, CHAPO; GUIERREZ LOERA, JOSE LUIS; GUZMAN FERNANDEZ, JOAQUIN; GUZMAN LOESA, JOAQUIN; GUZMAN PADILLA, JOAQUIN; GUMAN LOERAL, JOAQUIN; GUZMAN, ARCHIBALDO; GUZMAN, AURELIANO; ORTEGA, MIGUEL; RAMIREZ, JOISE LUIS; CARO RODRIGUEZ, GILBERTO; GUZMAN, JOAQUIN CHAPO; GUZMAN LOREA, CHAPO; GUZMAN LOEIA, JOAGUIN; GUZMAN, ACHIVALDO; OSUNA, GILBERTO; RAMOX PEREZ, JORGE; ",100
2760,"AMA INSURANCE AGENCY, INC.",,,,,,,,
2761,SAADAT REHMANN,,,,,,,,
2762,"GROUP DENTAL SERVICE, INC.",,,,,,,,
2763,GHAZALAN ABID,,,,,,,,
2764,JUWAIN SARAH,,,,,,,,
2765,HECTOR FABIO HERNANDEZ CANOBAS,,,,,"HERNANDEZ CANOBAS, HECTOR FABIO ",100,"HERNANDEZ CANOBAS, HECTOR FABIO ",100
2766,NATIQ DIN,,,,,,,,
2767,SHAHADAT SADIQ,,,,,,,,
2768,ARTHUR HAY,,,,,,,,
2769,MILO MACKENZIE,,,,,,,,
2770,RAJA NASR,,,,,,,,
2771,BENTLEY DAVIES,,,,,,,,
2772,"WESTLAKE FINANCIAL GROUP, INC.",,,,,,,,
2773,ALIM RAD,,,"ALI, HALIMA ADAN ",88,,,,
2774,SAIMA MOHAMAD,,,"TABRAH, ASIL SAMI MOHAMAD MADHI; TABRA, ASIL; ",85,,,,
2775,YARAH BILAL,,,,,,,,
2776,ABDUL WAALI BESHARA,,,,,,,,
2777,UNIVERSAL EXPORTS ,,,,,,,,
2778,YASMINE SALEK,,,,,,,,
2779,ALBIE ROBERTS,,,,,,,,
2780,CINCO ,,,,,,,,
2781,ABDUL MANI KARIM,,,,,,,,
2782,T.M.G.ENGINEERINGLIMITED,T.M.G. ENGINEERING LIMITED ,96,T.M.G. ENGINEERING LIMITED ,92,T.M.G. ENGINEERING LIMITED ,90,T.M.G. ENGINEERING LIMITED ,98
2783,ABYAD FARMAN,,,,,,,,
2784,RAJAA SAFI,,,,,,,,
2785,ANWAAR SAFAR,,,,,,,,
2786,REAGAN WILLIAMS,,,,,,,,
2787,PROTECTIVE LIFE INSURANCE CO,,,,,,,,
2788,JALAL AL DIN TABET,,,,,,,,
2789,NUMAN SALLOUM,,,,,,,,
2790,COLBY LEWIS,,,,,,,,
2791,ABDUS SALAAM VAZIRI,,,,,,,,
2792,UBAYY SABET,,,,,,,,
2793,ARTIE LEE,,,,,,,,
2794,RAZA SALIM,,,,,,,,
2795,SCOR GLOBAL LIFE RE INS CO OF TX,,,,,,,,
2796,ISMA OMAR,,,,,,,,
2797,MUAYYAD SATTAR,,,,,,,,
2798,FARAJ ABAD,,,BADR ,86,,,,
2799,SUWAYBIT MOUSTAFA,,,,,,,,
2800,DER WHITE,,,,,,,,
2801,GEORGY WILLIAMS,,,,,,,,
2802,PAUL EDWARDS,,,,,,,,
2803,POLISH ROMAN CATHOLIC UNION,,,,,,,,
2804,RILEY WRIGHT,,,,,,,,
2805,KHALAF MADY,,,,,,,,
2806,ANGELI TAYLOR,,,,,,,,
2807,SARIM SHAMS,,,,,,,,
2808,LACY THOMAS,,,,,,,,
2809,WAY SMITH,,,,,,,,
2810,HAJJAH AZZAM,,,,,,,,
2811,"WELLCARE HEALTH INSURANCE OF IL, INC.",,,,,,,,
2812,AUTO-OWNERS INSURANCE CO,,,,,,,,
2813,ELLIS WILLIAMS,,,,,,,,
2814,SAIDA YASSIN,,,,,,,,
2815,MID-CENTURY INSURANCE CO,,,,,,,,
2816,THARWAT ABDO,,,,,,,,
2817,HIMAYAT RAHAMAN,,,,,,,,
2818,CHRISTABELLA MARTINEZ,,,BELLA ,100,,,,
2819,HALIMA SAMAD,,,,,,,,
2820,SINAN KAZEMI,,,,,,,,
2821,"SENECA INSURANCE CO, INC.",,,,,,,,
2822,DAWOUD MASOOD,,,,,,,,
2823,LIEF TAYLOR,,,,,,,,
2824,HUZAIFAH BILAL,,,,,,,,
2825,RAYN MAJEED,,,,,,,,
2826,MU'AFA HABEEB,,,,,,,,
2827,MUQADDAS FAHS,,,,,,,,
2828,NUZHAT IMAN,,,,,,,,
2829,FAYAAZ ASHRAF,,,,,,,,
2830,MURTAAD SALAM,,,,,,,,
2831,SISILE BROWN,,,,,,,,
2832,CAROL MORGAN,,,GANJ ,86,,,,
2833,ISHTIYAQ QASIM,,,,,,,,
2834,NUR-UL-QIBLATAYN FIRMAN,,,,,,,,
2835,KARL JACKSON,,,,,,,,
2836,ERIC JONES,,,,,,,,
2837,ARNOLD MORGAN,,,GANJ ,86,,,,
2838,ASBAT EDRIS,,,,,,,,
2839,KISHWAR RASSI,,,,,,,,
2840,MIHYAR DAR,,,,,,,,
2841,IMPORTCLUB,,,"SIN-MEX IMPORTADORA, S.A. DE C.V.; CHIKA'S ACCESORIOS Y COSMETICOS; IMPORTCLUB; ",100,,,"SIN-MEX IMPORTADORA, S.A. DE C.V.; CHIKA'S ACCESORIOS Y COSMETICOS; IMPORTCLUB; ",100
2842,ADHAM JENKINS,,,,,,,,
2843,SALEH NASR,,,,,,,,
2844,KASIM BASHARA,,,,,,,,
2845,HARP PATERSON,,,,,,,,
2846,NAYIF SHINDAKH THAMIR GHALIB,,,"GHALIB, NAYIF SHINDAKH THAMIR ",86,"GHALIB, NAYIF SHINDAKH THAMIR ",100,"GHALIB, NAYIF SHINDAKH THAMIR ",100
2847,FITZGERALD JONES,,,,,,,,
2848,SAFWAN AMMAR,,,,,,,,
2849,RAWH GREISS,,,,,,,,
2850,RAMADAN IMAN,,,,,,,,
2851,ABDUL-MUGHNI JAMA,,,,,,,,
2852,MAHBEER BADOUR,,,,,,,,
2853,RAZA MOHAMMED,,,"BINALSHIBH, RAMZI MOHAMMED ABDULLAH; BIN AL SHIBH, RAMZI; BINALSHEIDAH, RAMZI MOHAMED ABDULLAH; OMAR, RAMZI MOHAMMED ABDELLAH; ",85,,,,
2854,KAZIM NIAZI,,,,,,,,
2855,DERRICK JONES,,,,,,,,
2856,WAVERLEY MARTINEZ,,,ARTIN ,100,,,,
2857,GRIFF GONZALEZ,,,,,,,,
2858,"COLUMBIA NATIONAL RRG, INC.",,,,,,,,
2859,SALAR SHAFI,,,,,,,,
2860,GAV JONES,,,,,,,,
2861,RAUF ULLAH,,,,,,,,
2862,ALLX BROWN,,,,,,,,
2863,SIRAJ SABET,,,,,,,,
2864,NAJJAR ASHRAF,,,,,,,,
2865,MARILYN DAVIES,,,,,,,,
2866,BUSRAH HUSAIN,,,,,,,,
2867,KEELBY WILSON,,,,,,,,
2868,MUSTAHSAN RADI,,,,,,,,
2869,MONTY SMITH,,,,,,,,
2870,URWAH AMMAR,,,,,,,,
2871,THAMER DAR,,,,,,,,
2872,NIJAD KHALIL,,,,,,,,
2873,NORTH POINTE CASUALTY INS CO,,,,,,,,
2874,JAD ALLAH DARWISH,,,,,,,,
2875,FLORI PATEL,,,,,,,,
2876,TALIB YOUSIF,,,,,,,,
2877,FAHEEM SHEHATA,,,,,,,,
2878,ARHAM ABDELRAHMAN,,,"ALAWI, ABDEL-SALAM ABDEL-RAHMAN; ALLAWI, SALAM; ",88,,,,
2879,RAJI POPAL,,,,,,,,
2880,SULTAAN MANSUR,,,,,,,,
2881,TAMIM MUNIR,,,,,,,,
2882,FIKRI REHMANN,,,,,,,,
2883,RENADO JACKSON,,,,,,,,
2884,ESME EVANS,,,,,,,,
2885,MUTAWALLI HAIDAR,,,,,,,,
2886,ASHAR AMAN,,,,,,,,
2887,PASCALE ROBINSON,,,,,,,,
2888,CAMELLIA CARTER,,,,,,,,
2889,ABDUR-RASHEED HAMED,,,,,,,,
2890,FAQEEH BARI,,,,,,,,
2891,RASLA WRIGHT,,,,,,,,
2892,ADRIANE JOHNSON,,,,,,,,
2893,SHARYL GARCIA,,,,,,,,
2894,ANTHONY MARTIN,,,ARTIN ,100,,,,
2895,JUL GHAZAL,,,,,,,,
2896,MUMAYYAZ MOGHADDAM,,,YAZ ,100,,,,
2897,QANIAH SAFAR,,,,,,,,
2898,MAHJUB AMBER,,,,,,,,
2899,MAHVEEN GAD,,,,,,,,
2900,IBTHAJ CAN,,,,,,,,
2901,"SUPERIOR VISION SERVICES, INC.",,,,,,,,
2902,MAYSARAH HABIB,,,,,,,,
2903,ABDUL SABUR ABDULLAH,,,,,,,,
2904,DEINA DAVIES,,,,,,,,
2905,QANI YASSIN,,,,,,,,
2906,AUREL SMITH,,,,,,,,
2907,BREW HAY,,,,,,,,
2908,AS'AD NOUR,,,OURA ,86,,,,
2909,MOTAZ MIRZA,,,,,,,,
2910,GABE BAILEY,,,,,,,,
2911,MUNAHID SALEEM,,,,,,,,
2912,RONNY LOWE,,,,,,,,
2913,SUSAN DAVIES,,,,,,,,
2914,MASHHUR FAWAZ,,,,,,,,
2915,ABDUL MUNIM SAIDI,,,,,,,,
2916,JOURDAIN TAYLOR,,,,,,,,
2917,RAQUIB SHEHATA,,,,,,,,
2918,RINGO ALI,,,,,,,,
2919,FIRST STATE INSURANCE CO,,,,,,,,
2920,ZARAR KHAWAJA,,,,,,,,
2921,KAZIM AYDIN,,,,,,,,
2922,MARGHUB MADANI,,,,,,,,
2923,ZAFIR MEER,,,,,,,,
2924,WAGMA HABEEB,,,,,,,,
2925,GODDARD HILL,,,,,,,,
2926,BAXIE WILSON,,,,,,,,
2927,ATHIL WALI,,,,,,,,
2928,RIM KHAWAJA,,,,,,,,
2929,GOOBER JOHNSON,,,,,,,,
2930,ABDUL QAADIR MORADI,,,,,,,,
2931,DAWID SINAI,,,,,,,,
2932,ABDUL RAHEEM MATIN,,,,,,,,
2933,SAKHAWAT AMER,,,,,,,,
2934,ANTOINE MACKAY,,,,,,,,
2935,DRAKE WALKER,,,,,,,,
2936,BASHAR KARIM,,,,,,,,
2937,HAZIRAH RAYES,,,,,,,,
2938,IHTISHAM ISLAM,,,,,,,,
2939,TAHIRAH KARIM,,,,,,,,
2940,MAYSAM BAHRI,,,,,,,,
2941,BADR TURAY,,,BADR ,100,,,BADR ,100
2942,SHAWAIZ OBEID,,,,,,,,
2943,RENAISSANCE LIFE & HEALTH INS CO,,,,,,,,
2944,FATIK AMBER,,,,,,,,
2945,GUTHRIE MARTINEZ,,,ARTIN ,100,,,,
2946,AMR HASHIM,,,,,,,,
2947,ARMANDO BROWN,,,,,,,,
2948,MARGARET DAVIES,,,,,,,,
2949,NIXIE SMITH,,,,,,,,
2950,DENNY WILLIAMS,,,,,,,,
2951,"SUPERIOR ADMINISTRATORS, INC.",,,,,,,,
2952,SHAFIN SALIK,,,,,,,,
2953,ABDUL QAHAAR TABET,,,,,,,,
2954,KENDRICK EVANS,,,,,,,,
2955,JALAL DEMIAN,,,,,,,,
2956,FRANK WRIGHT,,,,,,,,
2957,FARHAT HAMAD,,,,,,,,
2958,GASTON BROWN,,,,,,,,
2959,LIBERTY BANKERS LIFE INS CO,,,,,,,,
2960,MUNIR JABBOUR,,,,,,,,
2961,MASHHUR VAZIRI,,,,,,,,
2962,"WELLMARK COMMUNITY INS, INC.",,,,,,,,
